product_category_name_english,One-Time,Repeat,Total_Customers,Repeat_Rate_%,Drop_Rate_%
agro_industry_and_commerce,5,0,5,0.0,100.0
air_conditioning,8,0,8,0.0,100.0
watches_gifts,316,0,316,0.0,100.0
art,11,0,11,0.0,100.0
audio,23,0,23,0.0,100.0
auto,214,0,214,0.0,100.0
baby,176,0,176,0.0,100.0
books_general_interest,26,0,26,0.0,100.0
books_technical,13,0,13,0.0,100.0
cds_dvds_musicals,2,0,2,0.0,100.0
computers_accessories,399,0,399,0.0,100.0
christmas_supplies,12,0,12,0.0,100.0
cine_photo,2,0,2,0.0,100.0
computers,13,0,13,0.0,100.0
construction_tools_construction,49,0,49,0.0,100.0
consoles_games,49,0,49,0.0,100.0
cool_stuff,203,0,203,0.0,100.0
construction_tools_safety,11,0,11,0.0,100.0
flowers,2,0,2,0.0,100.0
fashion_shoes,20,0,20,0.0,100.0
costruction_tools_garden,10,0,10,0.0,100.0
costruction_tools_tools,4,0,4,0.0,100.0
dvds_blu_ray,2,0,2,0.0,100.0
electronics,143,0,143,0.0,100.0
fashio_female_clothing,2,0,2,0.0,100.0
fashion_male_clothing,11,0,11,0.0,100.0
food,26,0,26,0.0,100.0
fixed_telephony,17,0,17,0.0,100.0
fashion_sport,8,0,8,0.0,100.0
fashion_underwear_beach,5,0,5,0.0,100.0
furniture_mattress_and_upholstery,2,0,2,0.0,100.0
furniture_living_room,30,0,30,0.0,100.0
furniture_bedroom,2,0,2,0.0,100.0
food_drink,13,0,13,0.0,100.0
toys,213,0,213,0.0,100.0
small_appliances_home_oven_and_coffee,2,0,2,0.0,100.0
stationery,130,0,130,0.0,100.0
office_furniture,94,0,94,0.0,100.0
home_appliances,38,0,38,0.0,100.0
garden_tools,203,0,203,0.0,100.0
home_comfort_2,2,0,2,0.0,100.0
home_appliances_2,15,0,15,0.0,100.0
industry_commerce_and_business,11,0,11,0.0,100.0
kitchen_dining_laundry_garden_furniture,12,0,12,0.0,100.0
home_confort,25,0,25,0.0,100.0
home_construction,32,0,32,0.0,100.0
la_cuisine,2,0,2,0.0,100.0
musical_instruments,42,0,42,0.0,100.0
market_place,21,0,21,0.0,100.0
luggage_accessories,55,0,55,0.0,100.0
party_supplies,3,0,3,0.0,100.0
tablets_printing_image,4,0,4,0.0,100.0
signaling_and_security,4,0,4,0.0,100.0
small_appliances,35,0,35,0.0,100.0
perfumery,183,0,183,0.0,100.0
health_beauty,516,1,517,0.19342359767891684,99.80657640232108
furniture_decor,459,1,460,0.21739130434782608,99.78260869565217
bed_bath_table,550,2,552,0.36231884057971014,99.63768115942028
telephony,261,1,262,0.38167938931297707,99.61832061068702
Unknown,1346,6,1352,0.4437869822485207,99.55621301775149
pet_shop,112,1,113,0.8849557522123894,99.11504424778761
fashion_bags_accessories,101,1,102,0.9803921568627451,99.01960784313727
sports_leisure,469,6,475,1.263157894736842,98.73684210526315
housewares,369,5,374,1.3368983957219251,98.66310160427807
construction_tools_lights,28,1,29,3.4482758620689653,96.55172413793103
drinks,20,2,22,9.090909090909092,90.9090909090909
