CohortMonth,Customers,Avg_Retention,Total_Revenue
2016-09,2.0,100.0,72.89
2016-10,19.0,100.0,2544.67
2017-01,62.0,100.0,7616.46
2017-02,114.0,100.0,10024.03
2017-03,186.0,50.26881720430107,16534.74
2017-04,140.0,100.0,11607.24
2017-05,230.0,100.0,27373.37
2017-06,185.0,100.0,17038.06
2017-07,238.0,100.0,26302.86
2017-08,286.0,100.0,31275.24
2017-09,255.0,33.59477124183006,29137.120000000003
2017-10,266.0,50.18796992481202,31762.85
2017-11,508.0,100.0,57491.53
2017-12,347.0,50.14409221902017,34347.02
2018-01,458.0,50.109170305676855,45202.09
2018-02,422.0,100.0,41519.31
2018-03,438.0,100.0,54466.43
2018-04,425.0,100.0,48560.95
2018-05,423.0,50.11820330969267,55340.94
2018-06,420.0,100.0,54051.0
2018-07,409.0,100.0,51640.82
2018-08,428.0,100.0,44843.26
2018-09,2.0,100.0,0.0
