Month,Revenue,Growth_Rate_%,Month_Number
2016-09,72.89,,0
2016-10,2544.67,3391.1098916175056,1
2017-01,7616.46,199.3103231460268,2
2017-02,10024.03,31.610091827436904,3
2017-03,16494.74,64.55198158824345,4
2017-04,11607.24,-29.630658015828082,5
2017-05,27373.37,135.83013705239142,6
2017-06,17038.06,-37.75680524538995,7
2017-07,26302.86,54.37708283689575,8
2017-08,31275.24,18.904332076435804,9
2017-09,29064.14,-7.069809855975528,10
2017-10,31683.05,9.010794745690042,11
2017-11,57531.53,81.58456966737735,12
2017-12,34301.02,-40.37874535928386,13
2018-01,45173.27,31.696579285397352,14
2018-02,41519.31,-8.088765767897698,15
2018-03,54466.43,31.183369858506804,16
2018-04,48589.77,-10.78950832650497,17
2018-05,55266.93,13.741904931840597,18
2018-06,54250.8,-1.8385859319488107,19
2018-07,51640.82,-4.810952096558951,20
2018-08,44916.25,-13.021811040181008,21
2018-09,0.0,-100.0,22
