AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.89,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,249.9,0.0,0.0,0.0,0.0,353.7,0.0,0.0,0.0,0.0,724.0,0.0,54.99,274.49,0.0,0.0,0.0,399.0,59.9,0.0,428.68999999999994,0.0
0.0,129.99,0.0,0.0,986.6999999999999,0.0,34.9,0.0,0.0,0.0,1412.6399999999999,0.0,0.0,39.9,0.0,0.0,0.0,219.60000000000002,1576.99,129.99,0.0,0.0,59.9,79.99,0.0,2945.86,0.0
0.0,0.0,0.0,0.0,324.88,320.69,159.99,66.99,94.88,0.0,750.64,0.0,99.9,254.99,0.0,29.9,0.0,678.98,2092.21,0.0,599.0,0.0,578.78,59.9,269.9,3642.4,0.0
0.0,43.9,0.0,0.0,938.47,0.0,74.9,109.7,1046.42,39.0,2039.35,881.0,0.0,369.89,309.59000000000003,40.0,0.0,409.08,3514.11,225.99,89.8,0.0,912.56,1645.29,48.0,3616.71,140.98000000000002
249.99,0.0,0.0,0.0,820.1700000000001,209.70000000000002,29.9,139.5,352.79,135.3,1183.53,0.0,12.97,39.9,38.5,0.0,0.0,643.6700000000001,1184.59,0.0,125.0,0.0,1140.99,142.7,199.0,4899.14,59.9
16.9,109.9,0.0,0.0,600.58,1127.44,1393.88,350.22,552.89,64.89,2685.68,0.0,69.89,0.0,0.0,846.8,812.88,878.98,4170.91,145.0,49.99,0.0,1713.18,1405.39,26.69,10019.58,331.7
0.0,221.89000000000001,0.0,0.0,111.9,843.57,248.70000000000002,387.4,301.67,0.0,815.94,87.0,0.0,88.69999999999999,56.99,150.70999999999998,0.0,338.46000000000004,2590.2799999999997,89.5,0.0,0.0,1196.12,515.6999999999999,0.0,8993.53,0.0
356.99,0.0,0.0,0.0,930.19,0.0,360.3,546.13,311.04,0.0,1050.71,0.0,0.0,298.0,199.7,625.57,0.0,1291.7,7443.63,0.0,130.0,0.0,1179.34,336.29,0.0,11243.27,0.0
0.0,349.9,0.0,0.0,972.58,1010.95,385.79,391.73,864.5699999999999,892.76,3974.59,139.9,378.75,2187.19,45.0,268.70000000000005,1317.8,1057.29,2068.08,174.0,0.0,0.0,1694.98,619.4,1422.52,11058.76,0.0
0.0,229.9,23.99,0.0,352.7,1168.89,817.6899999999999,253.79,629.21,189.8,2047.0600000000002,118.9,159.93,272.6,0.0,81.99,409.99,2462.85,4720.43,418.79999999999995,0.0,0.0,1733.6499999999999,778.99,0.0,11593.98,599.0
285.0,406.89,0.0,0.0,1570.55,379.39,145.75,335.49,557.5,910.89,5306.51,199.0,2155.56,8.5,325.0,0.0,179.99,3483.1899999999996,4275.83,31.9,99.0,0.0,1770.6000000000001,599.73,0.0,8656.78,0.0
0.0,838.48,0.0,0.0,2371.7200000000003,1080.37,762.52,719.91,979.38,75.0,4960.29,157.78,1329.5700000000002,528.72,62.8,212.0,13.7,2425.39,10933.89,425.78,0.0,0.0,5081.39,3151.9,479.98,20940.96,0.0
239.0,0.0,0.0,189.9,795.28,177.9,1180.18,684.1800000000001,1633.8700000000001,295.0,5519.7,1005.98,524.78,255.99,100.1,936.69,44.49,1231.38,3653.56,107.9,0.0,0.0,735.45,824.28,340.52,13775.89,49.0
0.0,146.79,0.0,0.0,1873.26,633.54,641.58,387.83,956.58,169.0,4850.41,278.9,497.87,296.21000000000004,670.4000000000001,421.79,1948.3,4097.349999999999,7074.84,0.0,0.0,0.0,1860.46,1419.08,49.9,16535.19,363.99
0.0,474.89,0.0,0.0,508.53000000000003,346.69,1000.79,1377.77,529.75,116.91,4934.44,249.29000000000002,352.46,589.84,90.0,1410.93,99.9,2134.13,5093.93,0.0,0.0,0.0,1408.16,2915.0,0.0,17597.9,288.0
0.0,21.49,0.0,24.99,1278.75,1438.67,622.27,1043.1100000000001,2553.07,2908.23,2951.94,193.8,122.39000000000001,489.58,121.9,1070.94,199.8,3094.33,7483.77,356.5,0.0,122.99,2779.49,2826.32,99.47,22662.63,0.0
98.99,431.9,0.0,0.0,2066.75,428.79,735.6800000000001,799.07,283.8,968.9,3780.01,224.9,299.9,157.9,99.49,1562.79,191.0,3344.71,7724.5,0.0,0.0,0.0,2398.65,5152.93,0.0,17629.21,209.9
0.0,0.0,0.0,0.0,1750.5800000000002,505.5,838.55,940.1800000000001,3513.25,3099.75,4299.62,58.5,508.79,67.8,238.9,1124.8,0.0,1891.5,9608.25,0.0,0.0,0.0,3400.23,2012.3200000000002,0.0,21408.41,0.0
0.0,636.0,299.3,0.0,2317.67,2262.3799999999997,982.56,721.0699999999999,1411.79,274.78999999999996,6074.93,144.78,184.7,486.79,0.0,1954.81,66.99,2400.91,7885.32,1827.6,0.0,0.0,3121.23,744.79,364.0,20045.39,43.0
0.0,86.88999999999999,76.0,0.0,2442.87,1228.0800000000002,1075.54,899.21,2021.67,94.97999999999999,10079.039999999999,215.99,0.0,1277.99,209.0,1054.64,105.0,4047.17,6799.24,0.0,0.0,0.0,1636.82,1485.67,413.9,16356.22,34.9
0.0,51.879999999999995,0.0,0.0,1271.75,400.8,2931.5,192.32,511.7,66.99,4779.42,37.0,52.989999999999995,213.89000000000001,219.79000000000002,769.52,29.99,2349.9700000000003,5319.27,85.99000000000001,195.0,0.0,1998.77,1802.67,1747.97,19887.07,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
