CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
00053a61a98854899e70ed204dd4bafe,205,1,382.0,3,1,5,315,Need Attention
00082cbe03e478190aadbea78542e933,305,1,79.0,2,1,3,213,Need Attention
000949456b182f53c18b68d6babc79c1,151,1,0.0,4,1,1,411,Need Attention
0019e8c501c85848ac0966d45226fa1d,143,1,159.99,4,1,5,415,Need Attention
0023557a94bef0038066b5d1b3dc763e,176,1,0.0,4,1,1,411,Need Attention
0028cfeb9dfcd3628a56d5b6400deef5,257,1,95.9,3,1,4,314,Need Attention
0032ca69771a7758ce643258bb9e4ac7,66,1,45.0,5,1,2,512,Need Attention
003a5571a07dcf09bf117d13d2980ba3,58,1,149.9,5,1,4,514,Need Attention
003fee4ca17927283128c7ddc6f9311b,136,1,85.0,4,1,3,413,Need Attention
0047f3e16441284d757a8963344f6c59,389,1,60.0,2,1,3,213,Need Attention
004df63539fd5e38d4b0a0506de7549c,67,1,949.99,5,1,5,515,Need Attention
00504b68faa074d0f40adcb4f7727f71,40,1,152.0,5,1,5,515,Need Attention
0056c2dd794a5eede6164dcae635875a,43,1,129.99,5,1,4,514,Need Attention
005f060d4223956c62b64e9567a36f0f,121,1,689.0,4,1,5,415,Need Attention
00737247e3dc1942da2c527ef3bd2709,181,1,59.9,4,1,3,413,Need Attention
007953b3182d5ccc9189a694f5c68163,523,1,99.99,1,1,4,114,Need Attention
0087c31081ea8d160baa06bf4ad4d76f,90,1,160.0,5,1,5,515,Need Attention
009dd7b313c04f4ccd9d4e423bc04ba7,149,1,79.98,4,1,3,413,Need Attention
00ac9cd5c4ad19e16e7c6f6864711737,510,1,209.9,1,1,5,115,Need Attention
00b246520d4904724f9b20188a2ff39b,110,1,12.99,5,1,2,512,Need Attention
00b2ca23369b68c4d4105ecea9c0cb93,49,1,65.9,5,1,3,513,Need Attention
00c31de6420048cb3f668c99153debf7,324,1,64.9,2,1,3,213,Need Attention
00cd1ffd1a85ec2af3de73a3d341339d,136,1,49.0,4,1,3,413,Need Attention
00cd767526517f8a4fc27db6cc5a52fa,451,1,79.9,1,1,3,113,Need Attention
00d1e5d82377766dac9f8dc4d4eaf4a8,169,1,116.30000000000001,4,1,4,414,Need Attention
00d4ef3e086e2191c3fb6e7b0d2a1c75,83,1,0.0,5,1,1,511,Need Attention
00d96f54b90a6ffbe7361bcfdb85b0ba,212,1,99.9,3,1,4,314,Need Attention
00da34ebf22b87f6c2f53dc069f237df,127,1,209.70000000000002,4,1,5,415,Need Attention
00dd4390a8e8ad7a126e8331decc49ce,498,1,94.9,1,1,4,114,Need Attention
00ecc71175078e2cac5547a5656e9622,467,1,219.99,1,1,5,115,Need Attention
01007ebf75cabcd9d81d1aac37b278ca,161,1,60.9,4,1,3,413,Need Attention
011b7396d7220ca4ff52508adcb6b870,252,1,29.5,3,1,2,312,Need Attention
012510db7f0db8481f8a3708400c8db9,569,1,99.99,1,1,4,114,Need Attention
012755131a5b785b0ae3291c339a9051,181,1,358.98,4,1,5,415,Need Attention
012b41c1dae00a092474ca48dc764a00,60,1,0.0,5,1,1,511,Need Attention
013802b3b98584222c1280e654a655b1,127,1,113.9,4,1,4,414,Need Attention
014dcb5d582d60bca6a379e45a9041da,230,1,47.56,3,1,2,312,Need Attention
01593b828c6e7c516ed078a4820ab9b2,76,1,31.99,5,1,2,512,Need Attention
015aba8b6e516fbf6ee76c164c11987b,208,1,69.9,3,1,3,313,Need Attention
015cd0b039aa3b36cf78f41d8f54e3d0,207,1,82.8,3,1,3,313,Need Attention
016a461e59c71a989c278fb565441696,408,1,200.0,2,1,5,215,Need Attention
016c60628fc64e15fa5990e58a0b57c1,428,1,229.74,1,1,5,115,Need Attention
0178fa4e501691dec0663f439950d4de,219,1,23.8,3,1,2,312,Need Attention
01835b7ef446c78d0c37077894aa068d,170,1,55.8,4,1,3,413,Need Attention
01858f2fad256b1689f5bdafc059f745,51,1,0.0,5,1,1,511,Need Attention
01927626c24c5826ceb6ca6b2797fd60,184,1,259.9,4,1,5,415,Need Attention
019890d2ead42f267a2c66919d9dedce,255,1,179.0,3,1,5,315,Need Attention
019954cc9c2ceb2084881eefdf48f0f9,358,1,89.0,2,1,3,213,Need Attention
01a4788c8bd6d0d6a5b16ccdfd393b74,104,1,64.0,5,1,3,513,Need Attention
01a4fe5fc00bbdb0b0a4af5a5345cca5,113,1,0.0,5,1,1,511,Need Attention
01a6d398ee25ef8ce7ace2d3620ce248,185,1,49.0,4,1,3,413,Need Attention
01a7888cc755d6ad17b03de5f5543641,239,1,69.9,3,1,3,313,Need Attention
01a8574d68d5a495ebe94a4790f6fe34,298,1,118.99,2,1,4,214,Need Attention
01c849814dd6cd478f0ee6343414acb7,70,1,99.99,5,1,4,514,Need Attention
01cbe0a1a969bf0936fd97298ae18cc8,137,1,0.0,4,1,1,411,Need Attention
01dd34b5f4cee2a48f03ba1cce8c592c,35,1,74.0,5,1,3,513,Need Attention
01e019838e4e21dd66bb6f69352334f8,292,1,359.0,3,1,5,315,Need Attention
