CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
33e2ec99a0b818a86def54a73031892a,201,1,229.9,4,2,5,425,Potential Loyalists
33e608856217dd0b34bf69e313470406,50,1,54.9,5,2,3,523,Potential Loyalists
34115d5fc0c83f38f79c68c8edcdc1dc,118,1,109.9,4,2,4,424,Potential Loyalists
3411eba8bec9143a5c999f80226aaa5e,177,1,116.0,4,2,4,424,Potential Loyalists
341b6946aa6278284d3986112c43def4,128,1,0.0,4,2,1,421,Potential Loyalists
3438b8441c857ae2e12fb185b58ec074,142,1,0.0,4,2,1,421,Potential Loyalists
3442a61b2d5bfd9d605d6943701ad650,179,1,416.5,4,2,5,425,Potential Loyalists
346d91f707ed77bbedd42a739ac519a3,70,1,59.9,5,2,3,523,Potential Loyalists
3489a2afde268cc8e832c33bbd7261d5,138,1,0.0,4,2,1,421,Potential Loyalists
34aac96d64fc005f6a378efdae534788,65,1,0.0,5,2,1,521,Potential Loyalists
34c13cd5451e9a2b8dcd0a2260ad631b,50,1,0.0,5,2,1,521,Potential Loyalists
34ff67eb3466a779b2f6b6fd56a3b953,112,1,2749.65,5,2,5,525,Potential Loyalists
35049c7d85f6a53ad59d8cd5d3f8d134,103,1,152.9,5,2,5,525,Potential Loyalists
35052a34c8cddade15549afde5580e83,79,1,0.0,5,2,1,521,Potential Loyalists
350b4f552289d46cd2a225f9a5f9d869,54,1,459.8,5,2,5,525,Potential Loyalists
351853efbf1da247efad7b002971072d,147,1,59.9,4,2,3,423,Potential Loyalists
352fd235c6e516d78f7481b9dae3eead,72,1,51.9,5,2,3,523,Potential Loyalists
3584499f418a3d1561146c07564c3ee4,57,1,252.9,5,2,5,525,Potential Loyalists
3589e93cbd610abc00e2714461fef0f2,148,1,499.99,4,2,5,425,Potential Loyalists
35aabace9e8c8f00fad6099760de33e0,174,1,55.989999999999995,4,2,3,423,Potential Loyalists
35b232d8a3c40f27db7019d55ea2d1ec,173,1,31.92,4,2,2,422,Potential Loyalists
35e3c2132cca0d7615fd5192aecb2c3d,100,1,13.49,5,2,2,522,Potential Loyalists
35e410adc25fe96c55082bd4bb2daba2,94,1,129.99,5,2,4,524,Potential Loyalists
3603d5e336b125a3f5f659a1252a29c3,119,1,189.9,4,2,5,425,Potential Loyalists
362f74c1d6e7015625b8464d05a8a149,51,1,69.9,5,2,3,523,Potential Loyalists
3655eeed8edb6b61ad8522a4a0e60391,39,1,99.99,5,2,4,524,Potential Loyalists
366122ec4e27dba7770f9913cf5931c2,187,1,55.9,4,2,3,423,Potential Loyalists
367fc5ad9ae8b1638ba859dd2728df79,126,1,34.99,4,2,2,422,Potential Loyalists
368dd77e48ff41c5a1a9d0c2d942c1eb,76,1,238.0,5,2,5,525,Potential Loyalists
36acff9ce2bc2f3456d427eb0200a8aa,126,1,0.0,4,2,1,421,Potential Loyalists
36b070a7ce61be43443f1f608fa56201,39,1,29.9,5,2,2,522,Potential Loyalists
36cb18374cd2f3eb0394ecde34691a9d,105,1,99.4,5,2,4,524,Potential Loyalists
36e06ca722231b14a75e6a33ffaa5f37,85,1,0.0,5,2,1,521,Potential Loyalists
36f9e46454f8819f18b8cc1694c21a62,160,1,129.79,4,2,4,424,Potential Loyalists
36fecee96b47a599e59f6ac3565b1fab,100,1,196.0,5,2,5,525,Potential Loyalists
371e3bf1adb3cd4edd421e32c7a2af97,30,1,0.0,5,2,1,521,Potential Loyalists
372b41e8faa2819e0b6346b16cdf402b,57,1,12.88,5,2,2,522,Potential Loyalists
372e0fc66eacb8698e4f9997d366d961,126,1,69.9,4,2,3,423,Potential Loyalists
374f6f36f49399403bb170eb8d4cd468,38,1,69.9,5,2,3,523,Potential Loyalists
3757a77ec62fb507d2eb804bfabb857b,169,1,29.99,4,2,2,422,Potential Loyalists
37669671d35808111ab0d229e546221f,160,1,0.0,4,2,1,421,Potential Loyalists
376c6321c9b503efcd9614adb8cc0d30,40,1,49.7,5,2,3,523,Potential Loyalists
3798afca0bdbf833d43d27ba3211d3a5,102,1,19.9,5,2,2,522,Potential Loyalists
3798f7b8f9b84c2789776972b9b5ec3d,189,1,0.0,4,2,1,421,Potential Loyalists
37a7034bb342bbbebdc03187fe8720ed,130,1,55.99,4,2,3,423,Potential Loyalists
37ae7c58b4be022ce76874059d56d998,93,1,0.0,5,2,1,521,Potential Loyalists
37c5cbc68741d25ca4684812ec24649f,145,1,69.9,4,2,3,423,Potential Loyalists
37cef7fb8127b7b3f4810de5942df2cd,95,1,78.0,5,2,3,523,Potential Loyalists
37d3dfcbb848287358251bcb27953cbc,190,1,0.0,4,2,1,421,Potential Loyalists
37e17edc107a2e3feecf9514f555b5c3,50,1,105.0,5,2,4,524,Potential Loyalists
37fbcc2dc516c4c9e5201a938d5e8f3c,88,1,34.9,5,2,2,522,Potential Loyalists
3809587a22b5a1a56b173ac0ed0e9e7d,129,1,89.0,4,2,3,423,Potential Loyalists
380cd2b51f97af9b87d23c91e8388482,165,1,142.0,4,2,4,424,Potential Loyalists
381a91201a6359179846a3e9742fe9be,199,1,81.0,4,2,3,423,Potential Loyalists
