product_category_name_english,Total_Customers,Churned_Customers,Churn_Rate
agro_industry_and_commerce,1,1.0,100.0
party_supplies,1,1.0,100.0
cds_dvds_musicals,1,1.0,100.0
fashion_shoes,9,9.0,100.0
fashio_female_clothing,1,1.0,100.0
flowers,2,2.0,100.0
fashion_male_clothing,6,6.0,100.0
fashion_sport,2,2.0,100.0
furniture_mattress_and_upholstery,1,1.0,100.0
home_comfort_2,2,2.0,100.0
tablets_printing_image,1,1.0,100.0
office_furniture,45,40.0,88.88888888888889
food_drink,7,6.0,85.71428571428571
luggage_accessories,35,29.0,82.85714285714286
cool_stuff,123,94.0,76.42276422764228
consoles_games,31,23.0,74.19354838709677
home_confort,19,14.0,73.68421052631578
furniture_decor,224,165.0,73.66071428571429
perfumery,110,81.0,73.63636363636363
garden_tools,115,84.0,73.04347826086956
toys,126,90.0,71.42857142857143
kitchen_dining_laundry_garden_furniture,7,5.0,71.42857142857143
costruction_tools_garden,7,5.0,71.42857142857143
computers_accessories,226,158.0,69.91150442477876
telephony,155,108.0,69.6774193548387
market_place,13,9.0,69.23076923076923
sports_leisure,269,183.0,68.02973977695167
bed_bath_table,310,210.0,67.74193548387096
fashion_bags_accessories,63,42.0,66.66666666666666
computers,6,4.0,66.66666666666666
christmas_supplies,3,2.0,66.66666666666666
Unknown,846,559.0,66.07565011820331
electronics,82,54.0,65.85365853658537
home_appliances_2,11,7.0,63.63636363636363
audio,11,7.0,63.63636363636363
stationery,84,53.0,63.095238095238095
furniture_living_room,16,10.0,62.5
fixed_telephony,8,5.0,62.5
baby,108,66.0,61.111111111111114
pet_shop,58,35.0,60.3448275862069
art,10,6.0,60.0
musical_instruments,24,14.0,58.333333333333336
books_general_interest,19,11.0,57.89473684210527
drinks,7,4.0,57.14285714285714
housewares,212,118.0,55.660377358490564
auto,133,73.0,54.88721804511278
health_beauty,333,182.0,54.65465465465466
small_appliances,22,12.0,54.54545454545454
watches_gifts,188,99.0,52.659574468085104
air_conditioning,4,2.0,50.0
fashion_underwear_beach,4,2.0,50.0
construction_tools_lights,10,5.0,50.0
home_appliances,21,8.0,38.095238095238095
industry_commerce_and_business,6,2.0,33.33333333333333
food,16,5.0,31.25
construction_tools_construction,22,6.0,27.27272727272727
home_construction,19,5.0,26.31578947368421
construction_tools_safety,6,1.0,16.666666666666664
books_technical,9,1.0,11.11111111111111
cine_photo,1,0.0,0.0
dvds_blu_ray,1,0.0,0.0
costruction_tools_tools,1,0.0,0.0
furniture_bedroom,2,0.0,0.0
la_cuisine,1,0.0,0.0
small_appliances_home_oven_and_coffee,2,0.0,0.0
