customer_state,Unknown,auto,bed_bath_table,computers_accessories,furniture_decor,health_beauty,housewares,sports_leisure,telephony,watches_gifts
AC,2,0,0,0,0,0,0,0,0,0
AL,5,1,0,1,0,2,0,3,0,2
AM,0,0,0,0,0,1,0,0,0,0
AP,0,0,0,0,0,0,0,0,1,0
BA,35,4,9,6,13,16,7,16,20,11
CE,7,2,2,5,1,3,2,6,2,7
DF,23,5,6,5,5,7,8,5,4,6
ES,18,3,12,7,4,3,2,3,7,5
GO,15,6,2,6,9,10,3,5,5,6
MA,3,1,5,2,0,7,1,0,1,0
MG,117,11,43,40,35,46,27,21,19,16
MS,5,0,1,3,4,2,0,9,0,0
MT,5,1,3,0,4,1,1,1,3,3
PA,17,3,2,3,2,4,4,6,1,2
PB,4,1,4,1,0,0,0,1,1,0
PE,15,1,1,2,2,14,3,8,5,6
PI,8,0,0,0,0,0,0,2,0,1
PR,51,12,16,11,17,12,28,14,6,10
RJ,91,18,56,29,54,46,26,27,17,31
RN,2,0,1,2,3,2,3,2,1,1
RO,3,0,0,0,0,1,0,0,1,0
RR,2,0,0,0,0,0,0,0,0,0
RS,40,8,24,14,15,23,16,27,11,11
SC,22,9,1,13,16,12,10,12,4,9
SE,2,1,0,0,0,0,0,1,3,1
SP,401,58,176,104,112,151,112,142,64,76
TO,3,0,0,0,0,2,1,1,3,1
