State,Active,At Risk,Churned,Total_Customers,Churn_Rate
AC,0,0,5,5,100.0
AM,0,0,1,1,100.0
AP,0,0,1,1,100.0
RR,0,0,2,2,100.0
RO,1,0,7,8,87.5
AL,3,2,18,23,78.26086956521739
MT,2,5,23,30,76.66666666666667
PA,4,8,37,49,75.51020408163265
SE,3,1,11,15,73.33333333333333
TO,2,2,11,15,73.33333333333333
MS,3,4,19,26,73.07692307692307
PI,3,2,13,18,72.22222222222221
GO,10,16,63,89,70.78651685393258
RS,26,40,156,222,70.27027027027027
SC,11,32,94,137,68.61313868613139
RJ,71,104,372,547,68.00731261425959
MA,5,3,17,25,68.0
CE,6,14,40,60,66.66666666666666
MG,75,83,308,466,66.09442060085837
PR,36,42,138,216,63.888888888888886
BA,23,37,104,164,63.41463414634146
ES,14,20,56,90,62.22222222222222
SP,299,372,1095,1766,62.00453001132503
PE,13,15,44,72,61.111111111111114
DF,18,21,56,95,58.94736842105262
PB,3,5,10,18,55.55555555555556
RN,4,7,12,23,52.17391304347826
