product_category_name_english,Orders
Unknown,601
bed_bath_table,242
sports_leisure,221
furniture_decor,213
health_beauty,198
computers_accessories,180
housewares,145
telephony,124
watches_gifts,111
garden_tools,102
cool_stuff,101
toys,95
perfumery,94
baby,78
auto,76
electronics,59
stationery,55
office_furniture,54
fashion_bags_accessories,50
pet_shop,48
luggage_accessories,32
consoles_games,23
furniture_living_room,19
musical_instruments,17
home_confort,15
small_appliances,13
books_general_interest,12
fashion_shoes,10
home_appliances,9
market_place,9
drinks,9
construction_tools_lights,9
fashion_male_clothing,8
audio,8
fixed_telephony,7
home_appliances_2,7
home_construction,7
food_drink,7
art,6
kitchen_dining_laundry_garden_furniture,6
food,6
construction_tools_construction,6
costruction_tools_garden,5
computers,4
christmas_supplies,4
air_conditioning,3
home_comfort_2,2
construction_tools_safety,2
cds_dvds_musicals,2
flowers,2
fashion_sport,2
industry_commerce_and_business,2
fashion_underwear_beach,2
agro_industry_and_commerce,1
books_technical,1
fashio_female_clothing,1
furniture_mattress_and_upholstery,1
party_supplies,1
tablets_printing_image,1
