product_category_name_english,revenue
health_beauty,44633.22
watches_gifts,42754.78
sports_leisure,39265.26
bed_bath_table,36334.55
furniture_decor,26988.03
computers_accessories,25308.05
cool_stuff,24650.38
housewares,23206.39
toys,17507.36
auto,17020.8
garden_tools,16749.21
perfumery,14387.63
baby,13850.08
telephony,11879.17
computers,9964.96
office_furniture,9196.82
pet_shop,8190.19
small_appliances,7981.08
home_appliances_2,7713.98
stationery,7661.84
consoles_games,6621.32
construction_tools_construction,5930.6
Unknown,5563.64
luggage_accessories,5048.55
musical_instruments,4885.33
fashion_bags_accessories,4714.54
electronics,3576.94
home_confort,3312.89
home_construction,3153.56
furniture_living_room,2759.34
audio,2207.4700000000003
construction_tools_lights,2032.1100000000001
fixed_telephony,1792.35
books_general_interest,1741.28
market_place,1588.85
small_appliances_home_oven_and_coffee,1515.29
home_appliances,1254.13
art,1175.08
costruction_tools_garden,1005.8199999999999
food,978.8
air_conditioning,958.6
construction_tools_safety,944.81
kitchen_dining_laundry_garden_furniture,899.59
fashion_shoes,670.72
drinks,554.06
fashion_male_clothing,526.59
industry_commerce_and_business,499.0
food_drink,427.71000000000004
books_technical,427.37
furniture_bedroom,338.0
la_cuisine,280.0
party_supplies,257.6
fashion_underwear_beach,239.6
christmas_supplies,130.1
furniture_mattress_and_upholstery,110.0
flowers,109.8
fashio_female_clothing,93.9
cds_dvds_musicals,90.0
fashion_sport,89.8
dvds_blu_ray,83.99
home_comfort_2,72.8
tablets_printing_image,69.9
cine_photo,59.9
costruction_tools_tools,34.9
agro_industry_and_commerce,29.5
