category,units_sold,orders,products,sellers,revenue,freight,avg_price,avg_review_score,late_delivery_rate,gross_sales_with_freight,revenue_share_pct,cum_revenue_share_pct
health_beauty,9465,8647,2397,479,1233131.72,178957.81,130.28333016376124,4.189729135644899,0.09054410987849974,1412089.53,9.32671706141476,9.32671706141476
watches_gifts,5859,5495,1300,95,1166176.98,98156.14,199.04027649769586,4.071711092003439,0.08277863116572794,1264333.1199999999,8.82030894152584,18.147026002940603
bed_bath_table,10953,9272,2991,189,1023434.76,201774.5,93.43876198301835,3.923968239313083,0.08399525244225327,1225209.26,7.740686807843139,25.887712810783743
sports_leisure,8431,7530,2822,466,954852.55,163404.36,113.25495789348832,4.165492957746479,0.07413118254062388,1118256.9100000001,7.221969417200938,33.10968222798468
computers_accessories,7644,6530,1600,279,888724.61,143999.16,116.26433935112506,3.986461619348055,0.07770800627943485,1032723.77,6.721814749024685,39.831496977009365
furniture_decor,8160,6307,2593,352,711927.6900000001,168402.23,87.24604044117648,3.9537747524752476,0.08431372549019608,880329.92,5.384621954917028,45.216118931926395
housewares,6795,5743,2282,452,615628.69,142763.56,90.60024871228843,4.107904085257549,0.06490066225165562,758392.25,4.656270302185899,49.87238923411229
cool_stuff,3718,3559,770,259,610204.1,81476.79,164.12159763313608,4.194903767958796,0.06750941366325981,691680.89,4.615241744341178,54.487630978453474
auto,4140,3810,1853,371,578966.65,90488.1,139.84701690821257,4.116003903391071,0.08285024154589372,669454.75,4.378979183622937,58.866610162076405
toys,4030,3804,1373,242,471286.48,75774.58,116.94453598014888,4.208927231807952,0.07419354838709677,547061.0599999999,3.5645467410651848,62.43115690314159
garden_tools,4268,3448,725,227,470495.27999999997,96650.4,110.23788191190252,4.084316037735849,0.07966260543580131,567145.6799999999,3.5585625477958787,65.98971945093747
baby,2982,2809,890,240,400421.84,66305.81,134.27962441314554,4.0782358905035485,0.08786049631120053,466727.65,3.0285663293870106,69.01828578032449
perfumery,3340,3086,857,173,390144.65,53026.98,116.8097754491018,4.219735656353259,0.07335329341317365,443171.63,2.9508354254115607,71.96912120573604
telephony,4430,4093,1112,142,309860.23,69342.39,69.94587584650112,3.9943233424159854,0.08329571106094807,379202.62,2.3436090783512578,74.31273028408731
office_furniture,1668,1254,302,30,268154.31,67057.05,160.7639748201439,3.5133010882708584,0.08932853717026379,335211.36,2.0281688789652597,76.34089916305257
stationery,2466,2264,831,172,223788.69,45786.36,90.74967153284672,4.245818033455732,0.08029197080291971,269575.05,1.692612199753209,78.03351136280577
computers,199,177,30,9,218684.14,9665.62,1098.9152763819095,4.219387755102041,0.06532663316582915,228349.76,1.654004245060547,79.68751560786633
pet_shop,1924,1688,710,132,211695.64,38918.56,110.02891891891893,4.216710182767624,0.061330561330561334,250614.2,1.6011471486720954,81.28866275653843
musical_instruments,651,611,279,67,184315.74,17871.38,283.12709677419355,4.221705426356589,0.08602150537634409,202187.12,1.3940609336894574,82.68272369022789
small_appliances,658,609,220,97,182754.12,15354.35,277.74182370820665,4.225114854517611,0.05927051671732523,198108.47,1.382249715421999,84.06497340564988
unknown,1537,1392,584,247,170726.63,26969.06,111.07783344176968,3.9386885245901637,0.0936890045543266,197695.69,1.2912805234292772,85.35625392907916
electronics,2729,2517,507,145,155043.93,45679.159999999996,56.81345914254305,4.067158671586716,0.09747160131916453,200723.09,1.1726653720332452,86.52891930111241
fashion_bags_accessories,1985,1820,829,97,149329.39,30558.9,75.22891183879094,4.1936708860759495,0.062468513853904284,179888.29,1.1294437949286218,87.65836309604104
consoles_games,1089,1018,300,81,148003.37,19094.36,135.90759412304865,4.13855421686747,0.0780532598714417,167097.72999999998,1.1194145229885752,88.7777776190296
construction_tools_construction,916,736,393,123,142108.49,20273.52,155.14027292576418,4.090010976948409,0.08078602620087336,162382.00999999998,1.0748289552189028,89.85260657424851
luggage_accessories,1077,1019,346,73,138701.63,30076.49,128.78517177344474,4.352283317800559,0.05385329619312906,168778.12,1.049061375995613,90.90166795024413
home_appliances_2,231,227,88,45,107953.95,10254.57,467.3331168831169,4.156521739130435,0.06926406926406926,118208.51999999999,0.8165031610022291,91.71817111124635
