customer_state,customers,orders,revenue,avg_order_value,avg_review_score,late_delivery_rate,revenue_share_pct
SP,39156,40501,5770409.65,142.47573269795808,4.246550625315555,0.05894700449449301,37.41527169985146
RJ,11917,12350,2055690.45,166.45266801619434,3.965140720115743,0.13473684210526315,13.3290739102968
MG,11001,11354,1819277.61,160.2323066760613,4.19246787771378,0.056103575832305796,11.796175697093949
RS,5168,5345,861802.4,161.23524789522918,4.1857518302984795,0.07148203592814371,5.587917132986228
PR,4769,4923,781919.55,158.8298903107861,4.239591836734694,0.049969530773918344,5.069957626089091
SC,3449,3546,595208.4,167.85346869712353,4.133276499005399,0.09757473209249859,3.859324615546812
BA,3158,3256,591270.6,181.59416461916462,3.930009290802106,0.14035626535626536,3.8337919643424603
DF,2019,2080,346146.17,166.4164278846154,4.133816425120773,0.07067307692307692,2.244407898911123
GO,1895,1957,334294.22,170.81973428717424,4.10431654676259,0.08175779253960143,2.1675599875287737
ES,1928,1995,317682.65,159.23942355889724,4.079735906551549,0.12230576441102757,2.0598507532439774
PE,1551,1593,309074.59,194.02045825486505,4.082963901203294,0.10797237915881984,2.004036188378791
CE,1258,1279,266463.97,208.33774042220483,3.941869599371563,0.1532447224394058,1.727749404372195
PA,922,946,212027.55,224.13060253699788,3.909967845659164,0.12367864693446089,1.3747842652910853
MT,856,886,181441.72,204.78749435665915,4.146188850967008,0.06772009029345373,1.1764660852957591
MA,700,717,147807.29,206.1468479776848,3.833567415730337,0.19665271966527198,0.9583808169613638
PB,504,517,137834.65,266.6047388781431,4.076171875,0.1102514506769826,0.8937183306221474
MS,681,701,134421.54,191.75683309557775,4.160228898426324,0.11554921540656206,0.8715877635156198
PI,464,476,105272.17,221.16002100840336,3.9936305732484074,0.15966386554621848,0.6825835741112334
RN,464,474,100728.3,212.50696202531645,4.149681528662421,0.10759493670886076,0.6531211717982878
AL,387,397,94195.79,237.26899244332492,3.8527918781725887,0.23929471032745592,0.6107644499437143
SE,329,335,70289.13,209.8182985074627,3.907185628742515,0.15223880597014924,0.4557539336043811
TO,267,274,60007.37,219.005,4.153846153846154,0.12773722627737227,0.3890871166388534
RO,231,243,56975.7,234.46790123456788,4.1652892561983474,0.02880658436213992,0.3694298022306313
AM,140,145,27596.18,190.3184827586207,4.243055555555555,0.041379310344827586,0.17893332279762958
AC,76,80,19586.25,244.828125,4.0875,0.0375,0.12699702616974787
AP,66,67,16141.81,240.92253731343283,4.242424242424242,0.04477611940298507,0.10466331569325918
RR,40,41,9039.52,220.47609756097563,3.902439024390244,0.12195121951219512,0.05861214668463637
