customer_unique_id,CLTV,Customer_Health_Index,Dynamic_Risk_Score,Customer_Persona,Next_Best_Action,Customer_Influence_Score,Strategic_Value_Score,Retention_Priority_Score,Lifecycle_Stage,Churn_Probability,Customer_Rank,Customer_Tier
0000366f3b9a7992bf8c76cfdf3221e2,0.0,31.67,68.33,Inactive Customer,Win-Back Campaign,15.84,22.17,68.33,Declining Stage,1.0,18506.5,Bronze
0000f46a3911fa3c0805444483337064,69.0,9.78,90.22,At Risk Customer,Urgent Retention Campaign,5.15,7.0,90.22,Churn Risk Stage,1.0,66722.0,Bronze
0004aac84e0df4da2b147fca70cf8255,0.0,22.56,77.44,Inactive Customer,Win-Back Campaign,11.28,15.79,77.44,Churn Risk Stage,1.0,46723.0,Bronze
00053a61a98854899e70ed204dd4bafe,382.0,28.56,71.44,VIP Customer,VIP Loyalty Benefits,15.7,20.84,71.44,Churn Risk Stage,1.0,24382.0,Bronze
0005ef4cd20d2893f0d9fbd94d3c0d97,104.9,28.77,71.23,Inactive Customer,Win-Back Campaign,14.78,20.38,71.23,Churn Risk Stage,1.0,26443.0,Bronze
0006fdc98a402fceb4eb0ee528f6a8d4,13.9,16.37,83.63,At Risk Customer,Urgent Retention Campaign,8.24,11.49,83.63,Churn Risk Stage,1.0,58129.5,Bronze
00082cbe03e478190aadbea78542e933,79.0,22.89,77.11,Inactive Customer,Win-Back Campaign,11.74,16.2,77.11,Churn Risk Stage,1.0,45089.0,Bronze
00090324bbad0e9342388303bb71ba0a,49.95,29.31,70.69,Inactive Customer,Win-Back Campaign,14.84,20.63,70.69,Churn Risk Stage,1.0,25225.5,Bronze
000949456b182f53c18b68d6babc79c1,0.0,30.79,69.21,Inactive Customer,Win-Back Campaign,15.4,21.56,69.21,Declining Stage,1.0,21274.5,Bronze
000a5ad9c4601d2bbdd9ed765d5213b3,0.0,17.59,82.41,At Risk Customer,Urgent Retention Campaign,8.8,12.32,82.41,Churn Risk Stage,1.0,56072.0,Bronze
000bfa1d2f1a41876493be685390d6d3,0.0,20.13,79.87,Inactive Customer,Win-Back Campaign,10.06,14.09,79.87,Churn Risk Stage,1.0,51478.0,Bronze
000d460961d6dbfa3ec6c9f5805769e1,28.9,25.4,74.6,Inactive Customer,Win-Back Campaign,12.81,17.85,74.6,Churn Risk Stage,1.0,37852.0,Bronze
000e309254ab1fc5ba99dd469d36bdb4,119.8,34.23,65.77,Inactive Customer,Win-Back Campaign,17.56,24.23,65.77,Declining Stage,1.0,10017.0,Bronze
000ec5bff359e1c0ad76a81a45cb598f,14.96,77.02,22.98,Regular Customer,Regular Marketing,38.57,53.95,22.98,Loyal Stage,0.0,1989.0,Silver
000ed48ceeb6f4bf8ad021a10a3c7b43,12.88,32.21,67.79,Inactive Customer,Win-Back Campaign,16.15,22.57,67.79,Declining Stage,1.0,16400.5,Bronze
0010a452c6d13139e50b57f19f52e04e,299.0,16.43,83.57,VIP Customer,VIP Loyalty Benefits,9.33,12.17,83.57,Churn Risk Stage,1.0,56475.5,Bronze
0010fb34b966d44409382af9e8fd5b77,49.95,28.33,71.67,Inactive Customer,Win-Back Campaign,14.35,19.94,71.67,Churn Risk Stage,1.0,28379.5,Bronze
001147e649a7b1afd577e873841632dd,170.0,18.88,81.12,VIP Customer,VIP Loyalty Benefits,10.07,13.59,81.12,Churn Risk Stage,1.0,52802.5,Bronze
00115fc7123b5310cf6d3a3aa932699e,59.99,7.28,92.72,At Risk Customer,Urgent Retention Campaign,3.86,5.23,92.72,Churn Risk Stage,1.0,68723.5,Bronze
0011805441c0d1b68b48002f1d005526,0.0,11.95,88.05,At Risk Customer,Urgent Retention Campaign,5.98,8.37,88.05,Churn Risk Stage,1.0,64631.5,Bronze
0011857aff0e5871ce5eb429f21cdaf5,174.33,15.58,84.42,VIP Customer,VIP Loyalty Benefits,8.44,11.3,84.42,Churn Risk Stage,1.0,58585.0,Bronze
0014a5a58da615f7b01a4f5e194bf5ea,88.0,26.05,73.95,Inactive Customer,Win-Back Campaign,13.35,18.43,73.95,Churn Risk Stage,1.0,35229.0,Bronze
0015752e079902b12cd00b9b7596276b,59.8,76.16,23.84,Regular Customer,Regular Marketing,38.3,53.44,23.84,Loyal Stage,0.0,4550.0,Silver
00172711b30d52eea8b313a7f2cced02,74.5,76.69,23.31,Regular Customer,Regular Marketing,38.62,53.85,23.31,Loyal Stage,0.0,2545.5,Silver
00191a9719ef48ebb5860b130347bf33,47.9,11.77,88.23,At Risk Customer,Urgent Retention Campaign,6.06,8.34,88.23,Churn Risk Stage,1.0,64672.0,Bronze
001926cef41060fae572e2e7b30bd2a4,48.79,17.98,82.02,At Risk Customer,Urgent Retention Campaign,9.17,12.69,82.02,Churn Risk Stage,1.0,55127.5,Bronze
001928b561575b2821c92254a2327d06,136.89,77.41,22.59,Regular Customer,Regular Marketing,39.21,54.49,22.59,Loyal Stage,0.0,481.5,Silver
00196c4c9a3af7dd2ad10eade69c926f,22.32,75.79,24.21,Regular Customer,Regular Marketing,37.98,53.1,24.21,Loyal Stage,0.0,6042.5,Silver
00196fdb2bf9edfc35e88ebfbcf8d781,12.9,27.76,72.24,Inactive Customer,Win-Back Campaign,13.93,19.46,72.24,Churn Risk Stage,1.0,30679.5,Bronze
0019e8c501c85848ac0966d45226fa1d,159.99,31.44,68.56,VIP Customer,VIP Loyalty Benefits,16.32,22.37,68.56,Declining Stage,1.0,17470.5,Bronze
001a2bf0e46c684031af91fb2bce149d,24.88,15.46,84.54,At Risk Customer,Urgent Retention Campaign,7.82,10.88,84.54,Churn Risk Stage,1.0,59525.5,Bronze
001a34eb30ecb8e3aacb07c475ca4dd1,151.9,35.15,64.85,VIP Customer,VIP Loyalty Benefits,18.14,24.94,64.85,Declining Stage,1.0,7806.0,Bronze
001a3a8e11d76c9a366c31a4aa2cc529,9.0,32.25,67.75,Inactive Customer,Win-Back Campaign,16.16,22.6,67.75,Declining Stage,1.0,16239.0,Bronze
001ae5a1788703d64536c30362503e49,89.99,23.89,76.11,Inactive Customer,Win-Back Campaign,12.28,16.92,76.11,Churn Risk Stage,1.0,41122.0,Bronze
002043098f10ba39a4600b6c52fbfe3c,176.99,10.72,89.28,VIP Customer,VIP Loyalty Benefits,6.02,7.9,89.28,Churn Risk Stage,1.0,65300.0,Bronze
002311514717ca8b65b09a26cdf7b91a,116.25,34.32,65.68,Inactive Customer,Win-Back Campaign,17.59,24.28,65.68,Declining Stage,1.0,9850.5,Bronze
0023557a94bef0038066b5d1b3dc763e,0.0,29.5,70.5,Inactive Customer,Win-Back Campaign,14.75,20.65,70.5,Churn Risk Stage,1.0,25137.5,Bronze
