Year_Month,revenue,Month_Index,Growth_Rate_%
2016-09,207.86,0,
2016-10,28266.76,1,13498.94159530453
2016-12,10.9,2,-99.96143880656999
2017-01,75760.07,3,694946.513761468
2017-02,140525.16,4,85.48710422258057
2017-03,238782.79,5,69.92173501172316
2017-04,224061.8,6,-6.165012981044415
2017-05,329981.02,7,47.27232397490337
2017-06,257026.69,8,-22.108644309299976
2017-07,301328.89,9,17.236420077619186
2017-08,342239.28,10,13.576657054024931
2017-09,383429.57,11,12.035523800774705
2017-10,397738.27,12,3.731767479487824
2017-11,608903.06,13,53.09139349351524
2017-12,449408.14,14,-26.193811540378864
2018-01,567610.38,15,26.301757685118908
2018-02,515646.73,16,-9.154809677722952
2018-03,568221.06,17,10.19580401489215
2018-04,590345.27,18,3.893592046729122
2018-05,589159.17,19,-0.20091632139273008
2018-06,541620.93,20,-8.06882798751991
2018-07,548865.4,21,1.3375535542911932
2018-08,520460.17,22,-5.1752633705823055
2018-09,145.0,23,-99.9721400390735
2018-10,0.0,24,-100.0
