product_category_name_english,revenue
watches_gifts,743296.92
health_beauty,737409.8099999999
bed_bath_table,625785.6900000001
sports_leisure,590918.46
computers_accessories,540672.77
furniture_decor,440672.31
housewares,392340.16
cool_stuff,381264.17
auto,360329.79
garden_tools,292393.44
toys,291437.55
perfumery,244093.56
baby,239541.49
telephony,199635.02
office_furniture,163203.14
musical_instruments,144787.22
computers,140575.77
stationery,136829.69
pet_shop,128244.43000000001
small_appliances,126350.39
Unknown,104368.62
consoles_games,104249.22
fashion_bags_accessories,92236.66
electronics,90592.12
construction_tools_construction,86453.66
luggage_accessories,86081.46
home_appliances_2,65357.92
agro_industry_and_commerce,50817.27
home_construction,47613.62
home_appliances,47079.94
furniture_living_room,41912.01
fixed_telephony,41870.02
home_confort,40514.42
air_conditioning,30267.87
kitchen_dining_laundry_garden_furniture,29924.84
books_general_interest,28223.31
audio,27237.4
construction_tools_safety,26788.29
construction_tools_lights,24107.71
small_appliances_home_oven_and_coffee,21739.84
industry_commerce_and_business,21213.16
market_place,17330.670000000002
food,16235.73
costruction_tools_garden,15355.12
signaling_and_security,14397.22
fashion_shoes,13694.56
furniture_bedroom,12621.95
drinks,11972.51
art,10911.85
books_technical,10626.49
food_drink,9954.02
costruction_tools_tools,7391.61
fashion_male_clothing,6405.09
fashion_underwear_beach,5536.84
christmas_supplies,4861.63
music,4697.35
cine_photo,4540.26
tablets_printing_image,4056.16
party_supplies,3821.7900000000004
dvds_blu_ray,3530.05
books_imported,2477.46
furniture_mattress_and_upholstery,2393.0
fashio_female_clothing,1568.17
la_cuisine,1378.98
arts_and_craftmanship,1195.34
fashion_sport,1034.52
diapers_and_hygiene,864.79
flowers,673.55
home_comfort_2,618.37
cds_dvds_musicals,465.0
fashion_childrens_clothes,419.86
security_and_services,283.28999999999996
