customer_unique_id,CLTV,Customer_Health_Index,Dynamic_Risk_Score,Customer_Persona,Next_Best_Action,Customer_Influence_Score,Strategic_Value_Score,Retention_Priority_Score,Lifecycle_Stage,Recommended_Campaign,Retention_Campaign
0000f46a3911fa3c0805444483337064,69.0,9.78,90.22,At Risk Customer,Urgent Retention Campaign,5.15,7.0,90.22,Churn Risk Stage,Retention Campaign,Special Discount Offer
0004aac84e0df4da2b147fca70cf8255,0.0,22.56,77.44,Inactive Customer,Win-Back Campaign,11.28,15.79,77.44,Churn Risk Stage,Win Back Campaign,Special Discount Offer
00053a61a98854899e70ed204dd4bafe,382.0,28.56,71.44,VIP Customer,VIP Loyalty Benefits,15.7,20.84,71.44,Churn Risk Stage,Loyalty Programme Campaign,Special Discount Offer
0005ef4cd20d2893f0d9fbd94d3c0d97,104.9,28.77,71.23,Inactive Customer,Win-Back Campaign,14.78,20.38,71.23,Churn Risk Stage,Win Back Campaign,Special Discount Offer
0006fdc98a402fceb4eb0ee528f6a8d4,13.9,16.37,83.63,At Risk Customer,Urgent Retention Campaign,8.24,11.49,83.63,Churn Risk Stage,Retention Campaign,Special Discount Offer
00082cbe03e478190aadbea78542e933,79.0,22.89,77.11,Inactive Customer,Win-Back Campaign,11.74,16.2,77.11,Churn Risk Stage,Win Back Campaign,Special Discount Offer
00090324bbad0e9342388303bb71ba0a,49.95,29.31,70.69,Inactive Customer,Win-Back Campaign,14.84,20.63,70.69,Churn Risk Stage,Win Back Campaign,Special Discount Offer
000a5ad9c4601d2bbdd9ed765d5213b3,0.0,17.59,82.41,At Risk Customer,Urgent Retention Campaign,8.8,12.32,82.41,Churn Risk Stage,Retention Campaign,Special Discount Offer
000bfa1d2f1a41876493be685390d6d3,0.0,20.13,79.87,Inactive Customer,Win-Back Campaign,10.06,14.09,79.87,Churn Risk Stage,Win Back Campaign,Special Discount Offer
000d460961d6dbfa3ec6c9f5805769e1,28.9,25.4,74.6,Inactive Customer,Win-Back Campaign,12.81,17.85,74.6,Churn Risk Stage,Win Back Campaign,Special Discount Offer
