customer_unique_id,CLTV,Customer_Health_Index,Dynamic_Risk_Score,Customer_Persona,Next_Best_Action,Customer_Influence_Score,Strategic_Value_Score,Retention_Priority_Score,Lifecycle_Stage,Churn_Probability,Customer_Rank,Customer_Tier,Lifetime_Tier_Score,Engagement_Score,Profitability_Index,Loyalty_Score,Investment_Priority
c7794313e2cd53472b116a751350f132,4598.0,83.03,16.97,VIP Customer,VIP Loyalty Benefits,58.62,68.38,16.97,Loyal Stage,0.015,1.0,Gold,1884.62,83.03,34.21,78.63,Medium Investment
edde2314c6c30e864a128ac95d6b2112,4399.87,82.67,17.33,VIP Customer,VIP Loyalty Benefits,57.7,67.69,17.33,Loyal Stage,0.0,2.0,Gold,1805.06,82.67,32.74,78.18,Medium Investment
ca27f3dac28fb1063faddd424c9d95fa,4059.0,81.85,18.15,VIP Customer,VIP Loyalty Benefits,56.03,66.36,18.15,Loyal Stage,0.0,3.0,Gold,1668.06,81.85,30.2,77.2,Medium Investment
025cf7c2f32536f0be1ab412bb6602d2,3576.0,81.91,18.09,VIP Customer,VIP Loyalty Benefits,54.26,65.32,18.09,Loyal Stage,0.005,4.0,Gold,1474.57,81.91,26.61,76.93,Medium Investment
ce3fe361f9e68bf0a813baaae1334d01,3099.0,81.3,18.7,VIP Customer,VIP Loyalty Benefits,52.18,63.83,18.7,Loyal Stage,0.0,5.0,Gold,1283.14,81.3,23.06,76.06,Medium Investment
910f0afb84bc778e856d3683c7e8a46a,3300.0,80.47,19.53,VIP Customer,VIP Loyalty Benefits,52.51,63.69,19.53,Loyal Stage,0.005,6.0,Gold,1363.25,80.47,24.55,75.44,Medium Investment
f886a3f43af9ac928fbb4b56436c528c,2999.9,81.15,18.85,VIP Customer,VIP Loyalty Benefits,51.74,63.5,18.85,Loyal Stage,0.0,7.0,Gold,1243.36,81.15,22.32,75.86,Medium Investment
c8460e4251689ba205045f3ea17884a1,3060.0,80.08,19.92,VIP Customer,VIP Loyalty Benefits,51.42,62.88,19.92,Loyal Stage,0.02,8.0,Gold,1266.89,80.08,22.77,74.92,Medium Investment
46450c74a0d8c5ca9395da1daac6c120,3109.99,79.1,20.9,VIP Customer,VIP Loyalty Benefits,51.12,62.31,20.9,Loyal Stage,0.045,9.0,Gold,1286.42,79.1,23.14,74.06,Medium Investment
8e07cbdbbb24328ece74135e2a81405b,2350.0,79.93,20.07,VIP Customer,VIP Loyalty Benefits,48.71,61.2,20.07,Loyal Stage,0.0,10.0,Gold,982.34,79.93,17.49,74.31,Medium Investment
9db254a87951220e74c58549749cf128,2160.0,80.37,19.63,VIP Customer,VIP Loyalty Benefits,48.22,61.08,19.63,Loyal Stage,0.0,11.5,Gold,906.44,80.37,16.07,74.58,Medium Investment
8a8ac60fd8ea25925f379a33ef277987,2258.0,80.05,19.95,VIP Customer,VIP Loyalty Benefits,48.43,61.08,19.95,Loyal Stage,0.0,11.5,Gold,945.54,80.05,16.8,74.36,Medium Investment
85475e754525d6d222d917dbc8251801,2399.0,79.38,20.62,VIP Customer,VIP Loyalty Benefits,48.61,60.92,20.62,Loyal Stage,0.0,13.0,Gold,1001.69,79.38,17.85,73.84,Medium Investment
287a7cdacbcda8f842d7719e77cb8457,2150.0,79.53,20.47,VIP Customer,VIP Loyalty Benefits,47.76,60.47,20.47,Loyal Stage,0.005,14.0,Gold,902.0,79.53,16.0,73.81,Medium Investment
00c07da5ba0e07b4f248a3a373b07476,2258.0,79.06,20.94,VIP Customer,VIP Loyalty Benefits,47.93,60.38,20.94,Loyal Stage,0.0,15.0,Gold,945.03,79.06,16.8,73.46,Medium Investment
10e1df2717597281c5cffa0e0a7ca7cb,1999.98,79.66,20.34,VIP Customer,VIP Loyalty Benefits,47.27,60.23,20.34,Loyal Stage,0.0,16.0,Gold,841.96,79.66,14.88,73.83,Medium Investment
e79c794eb044c594d923722240125052,2199.0,78.98,21.02,VIP Customer,VIP Loyalty Benefits,47.67,60.19,21.02,Loyal Stage,0.0,17.0,Gold,921.35,78.98,16.36,73.34,Medium Investment
e0a7e61d37dd4060ab419bdb93a9f05d,2090.0,79.23,20.77,VIP Customer,VIP Loyalty Benefits,47.39,60.13,20.77,Loyal Stage,0.0,18.0,Gold,877.81,79.23,15.55,73.5,Medium Investment
5a04d5472eb5ee998250f0977b31f772,1999.9,79.51,20.49,VIP Customer,VIP Loyalty Benefits,47.2,60.12,20.49,Loyal Stage,0.0,19.0,Gold,841.85,79.51,14.88,73.69,Medium Investment
e8258022c5060b1f3d861556a17fd741,2029.0,79.15,20.85,VIP Customer,VIP Loyalty Benefits,47.12,59.93,20.85,Loyal Stage,0.005,20.0,Silver,853.32,79.15,15.1,73.38,Low Investment
b2aa555ce3ce0bfba30f48652b8d22e4,1999.8,78.44,21.56,VIP Customer,VIP Loyalty Benefits,46.66,59.37,21.56,Loyal Stage,0.015,21.0,Silver,841.26,78.44,14.88,72.72,Low Investment
7de6d654e4d5b71483c3799468bc27e6,1999.0,78.06,21.94,VIP Customer,VIP Loyalty Benefits,46.47,59.11,21.94,Loyal Stage,0.04,22.0,Silver,840.75,78.06,14.87,72.38,Low Investment
64ee3e71d9a27034db0c6a48c29d35d5,1499.99,78.93,21.07,VIP Customer,VIP Loyalty Benefits,45.05,58.6,21.07,Loyal Stage,0.005,23.0,Silver,641.26,78.93,11.16,72.83,Low Investment
061e0d9d23f099ebcc78d1c90f94dfbe,1623.9,78.4,21.6,VIP Customer,VIP Loyalty Benefits,45.24,58.5,21.6,Loyal Stage,0.015,24.0,Silver,690.63,78.4,12.08,72.43,Low Investment
d3729a20d98aab032427c9d19d7cb7b9,1460.99,78.5,21.5,VIP Customer,VIP Loyalty Benefits,44.69,58.21,21.5,Loyal Stage,0.0,25.0,Silver,625.41,78.5,10.87,72.41,Low Investment
dee18b46b57c871840488ddcc81f1ce4,1240.0,79.1,20.9,VIP Customer,VIP Loyalty Benefits,44.16,58.14,20.9,Loyal Stage,0.0,26.0,Silver,537.17,79.1,9.23,72.81,Low Investment
3f9bb1cc786f6a4ecfd6b3d868d39357,1300.0,78.88,21.12,VIP Customer,VIP Loyalty Benefits,44.28,58.12,21.12,Loyal Stage,0.0,28.0,Silver,561.1,78.88,9.67,72.65,Low Investment
14cf3e40a2b5076d2d0384a7e68ca06f,1798.0,77.3,22.7,VIP Customer,VIP Loyalty Benefits,45.34,58.12,22.7,Loyal Stage,0.04,28.0,Silver,759.83,77.3,13.38,71.55,Low Investment
408604325b96735d6dbed039246efd64,1299.65,78.88,21.12,VIP Customer,VIP Loyalty Benefits,44.28,58.12,21.12,Loyal Stage,0.0,28.0,Silver,560.96,78.88,9.67,72.65,Low Investment
0a0a92112bd4c708ca5fde585afaa872,13440.0,40.13,59.87,VIP Customer,VIP Loyalty Benefits,70.06,58.09,59.87,Declining Stage,1.0,30.0,Silver,5405.47,40.13,100.0,45.52,Low Investment
46d2e80a1ca0ee7a62db0ab302e8b4b7,1240.0,78.9,21.1,VIP Customer,VIP Loyalty Benefits,44.06,58.0,21.1,Loyal Stage,0.0,31.0,Silver,537.07,78.9,9.23,72.63,Low Investment
4e012ebff739bde041e02fcabd42d3d0,1376.55,78.42,21.58,VIP Customer,VIP Loyalty Benefits,44.33,57.97,21.58,Loyal Stage,0.0,32.5,Silver,591.54,78.42,10.24,72.28,Low Investment
b12294f6bca2370dc2f2a46cdc484076,1669.87,77.49,22.51,VIP Customer,VIP Loyalty Benefits,44.96,57.97,22.51,Loyal Stage,0.02,32.5,Silver,708.59,77.49,12.42,71.63,Low Investment
6ca64aa28917ec5f253c90fda7032b6c,1299.65,78.62,21.38,VIP Customer,VIP Loyalty Benefits,44.15,57.94,21.38,Loyal Stage,0.0,34.0,Silver,560.83,78.62,9.67,72.42,Low Investment
2750ea8eaed9066e36245a18802eac17,1325.9,78.51,21.49,VIP Customer,VIP Loyalty Benefits,44.19,57.92,21.49,Loyal Stage,0.0,35.0,Silver,571.29,78.51,9.87,72.33,Low Investment
886583680443fec2ba8b1426cc6facde,1400.0,78.26,21.74,VIP Customer,VIP Loyalty Benefits,44.34,57.91,21.74,Loyal Stage,0.0,36.0,Silver,600.85,78.26,10.42,72.16,Low Investment
e3fe811011101628e80a7953f1244c8d,1795.0,76.97,23.03,VIP Customer,VIP Loyalty Benefits,45.16,57.88,23.03,Loyal Stage,0.03,37.0,Silver,758.46,76.97,13.36,71.24,Low Investment
79e12483f9b14c3254db94bd137a4b70,1349.0,78.28,21.72,VIP Customer,VIP Loyalty Benefits,44.16,57.81,21.72,Loyal Stage,0.0,38.0,Silver,580.43,78.28,10.04,72.14,Low Investment
fb71ed60806ae68abb00194fa02647a4,1267.2,78.52,21.48,VIP Customer,VIP Loyalty Benefits,43.97,57.79,21.48,Loyal Stage,0.0,39.0,Silver,547.77,78.52,9.43,72.3,Low Investment
d95e736f831986871d6bb98ff914e9a9,1240.0,78.53,21.47,VIP Customer,VIP Loyalty Benefits,43.88,57.74,21.47,Loyal Stage,0.0,40.0,Silver,536.88,78.53,9.23,72.29,Low Investment
5d1fde9eb27149c695624f8bb84cf6f7,1319.9,78.19,21.81,VIP Customer,VIP Loyalty Benefits,44.01,57.68,21.81,Loyal Stage,0.005,41.0,Silver,568.72,78.19,9.82,72.04,Low Investment
fafe2f8e0b7065fef995698ef3809fec,1760.0,76.72,23.28,VIP Customer,VIP Loyalty Benefits,44.91,57.63,23.28,Loyal Stage,0.035,42.5,Silver,744.3,76.72,13.1,70.99,Low Investment
3ab2f8203c5f8d73a1260109eb82eb20,1240.0,78.38,21.62,VIP Customer,VIP Loyalty Benefits,43.8,57.63,21.62,Loyal Stage,0.0,42.5,Silver,536.8,78.38,9.23,72.16,Low Investment
5ef749f2915e7196dba56703be6d9eaf,1230.0,78.38,21.62,VIP Customer,VIP Loyalty Benefits,43.77,57.61,21.62,Loyal Stage,0.01,44.0,Silver,532.8,78.38,9.15,72.15,Low Investment
9d508f9fe2600ccc19e894431d968e73,1280.0,78.18,21.82,VIP Customer,VIP Loyalty Benefits,43.85,57.58,21.82,Loyal Stage,0.0,45.0,Silver,552.73,78.18,9.52,72.0,Low Investment
63923c0ec5cbc6893736efc26df5767e,1309.0,78.02,21.98,VIP Customer,VIP Loyalty Benefits,43.88,57.54,21.98,Loyal Stage,0.005,46.5,Silver,564.27,78.02,9.74,71.88,Low Investment
e428b46d4645f1d7db520d95b2e446ee,1323.0,77.98,22.02,VIP Customer,VIP Loyalty Benefits,43.91,57.54,22.02,Loyal Stage,0.0,46.5,Silver,569.86,77.98,9.84,71.85,Low Investment
c70dfb293b08af5444cf2cf527b8836c,1240.0,78.22,21.78,VIP Customer,VIP Loyalty Benefits,43.72,57.52,21.78,Loyal Stage,0.0,48.0,Silver,536.72,78.22,9.23,72.01,Low Investment
459a68fbf277556ad8bc2343a06328be,1490.6999999999998,77.41,22.59,VIP Customer,VIP Loyalty Benefits,44.25,57.51,22.59,Loyal Stage,0.005,49.0,Silver,636.76,77.41,11.09,71.44,Low Investment
97e42e3e7b1f76dd3c04a0aac41e3173,1099.0,78.64,21.36,VIP Customer,VIP Loyalty Benefits,43.41,57.5,21.36,Loyal Stage,0.0,50.0,Silver,480.44,78.64,8.18,72.3,Low Investment
1810e538a85f28a974dca2ad08da3c62,1277.5,77.97,22.03,VIP Customer,VIP Loyalty Benefits,43.74,57.43,22.03,Loyal Stage,0.0,51.0,Silver,551.62,77.97,9.51,71.81,Low Investment
c8ed31310fc440a3f8031b177f9842c3,1138.3,78.23,21.77,VIP Customer,VIP Loyalty Benefits,43.35,57.3,21.77,Loyal Stage,0.0,52.0,Silver,495.98,78.23,8.47,71.95,Low Investment
7cd455c1d71d264771df28ab75c49bde,1245.0,77.87,22.13,VIP Customer,VIP Loyalty Benefits,43.57,57.29,22.13,Loyal Stage,0.0,53.0,Silver,538.55,77.87,9.26,71.7,Low Investment
2be7d578854588f75b1922cf7627e1be,1389.99,77.32,22.68,VIP Customer,VIP Loyalty Benefits,43.83,57.23,22.68,Loyal Stage,0.005,54.0,Silver,596.36,77.32,10.34,71.29,Low Investment
6f35424ab0a4f25807ac4e03b155832e,1330.0,77.43,22.57,VIP Customer,VIP Loyalty Benefits,43.66,57.17,22.57,Loyal Stage,0.005,55.0,Silver,572.38,77.43,9.9,71.35,Low Investment
5a050b063ed2697381b449b2ff7b422e,1322.64,77.37,22.63,VIP Customer,VIP Loyalty Benefits,43.61,57.11,22.63,Loyal Stage,0.005,56.0,Silver,569.4,77.37,9.84,71.29,Low Investment
101375bf617fd60c9eee42f98d9a73d6,999.99,78.34,21.66,VIP Customer,VIP Loyalty Benefits,42.89,57.07,21.66,Loyal Stage,0.01,57.0,Silver,440.62,78.34,7.44,71.96,Low Investment
d33979cbff02d251c453e1b7daf00d84,1240.0,77.55,22.45,VIP Customer,VIP Loyalty Benefits,43.39,57.05,22.45,Loyal Stage,0.0,58.0,Silver,536.38,77.55,9.23,71.4,Low Investment
5c7fdc5b910c753f1f86570b8b52817e,950.0,78.36,21.64,VIP Customer,VIP Loyalty Benefits,42.71,56.97,21.64,Loyal Stage,0.0,59.0,Silver,420.6,78.36,7.07,71.94,Low Investment
e015ce18751465bc79eeabbe3f0064d5,1102.63,77.86,22.14,VIP Customer,VIP Loyalty Benefits,43.03,56.96,22.14,Loyal Stage,0.0,60.0,Silver,481.5,77.86,8.2,71.59,Low Investment
71150730b022797afd6a487820125da0,1450.0,76.7,23.3,VIP Customer,VIP Loyalty Benefits,43.74,56.92,23.3,Loyal Stage,0.02,61.0,Silver,620.09,76.7,10.79,70.77,Low Investment
c6f70f6262d971489361b0d4fb0936ed,1149.0,77.52,22.48,VIP Customer,VIP Loyalty Benefits,43.03,56.83,22.48,Loyal Stage,0.0,62.0,Silver,499.9,77.52,8.55,71.31,Low Investment
7cc7d622f03de2065576bc49db8a72d0,980.0,78.04,21.96,VIP Customer,VIP Loyalty Benefits,42.67,56.82,21.96,Loyal Stage,0.0,63.0,Silver,432.46,78.04,7.29,71.67,Low Investment
49e30036e0a9b1d35c61e3095d05e263,1045.0,77.74,22.26,VIP Customer,VIP Loyalty Benefits,42.76,56.75,22.26,Loyal Stage,0.01,64.0,Silver,458.35,77.74,7.78,71.44,Low Investment
8b4870d5e710991db0eb07f29084b00f,1100.0,77.55,22.45,VIP Customer,VIP Loyalty Benefits,42.87,56.74,22.45,Loyal Stage,0.0,65.0,Silver,480.29,77.55,8.18,71.31,Low Investment
d59242c4945ee516c0b2a9217c257edb,899.0,78.18,21.82,VIP Customer,VIP Loyalty Benefits,42.43,56.73,21.82,Loyal Stage,0.0,66.0,Silver,400.07,78.18,6.69,71.74,Low Investment
