product_category_name_english,Total_Sales
Unknown,15343
bed_bath_table,6725
health_beauty,5749
sports_leisure,5156
furniture_decor,5029
computers_accessories,4653
housewares,4282
watches_gifts,3649
telephony,2750
garden_tools,2712
auto,2551
toys,2452
cool_stuff,2300
perfumery,2070
baby,1831
electronics,1605
stationery,1529
fashion_bags_accessories,1226
pet_shop,1184
office_furniture,1002
luggage_accessories,693
consoles_games,687
construction_tools_construction,517
home_appliances,468
musical_instruments,457
small_appliances,426
home_construction,364
books_general_interest,331
furniture_living_room,308
food,294
home_confort,278
drinks,241
audio,210
market_place,205
kitchen_dining_laundry_garden_furniture,191
construction_tools_lights,177
food_drink,170
air_conditioning,167
industry_commerce_and_business,163
agro_industry_and_commerce,156
fixed_telephony,156
fashion_shoes,156
home_appliances_2,150
books_technical,144
costruction_tools_garden,139
art,135
computers,129
signaling_and_security,127
construction_tools_safety,120
christmas_supplies,86
fashion_underwear_beach,83
fashion_male_clothing,77
furniture_bedroom,75
costruction_tools_tools,62
tablets_printing_image,53
small_appliances_home_oven_and_coffee,42
cine_photo,41
dvds_blu_ray,39
party_supplies,31
books_imported,28
fashio_female_clothing,28
furniture_mattress_and_upholstery,24
music,23
flowers,19
home_comfort_2,19
diapers_and_hygiene,18
fashion_sport,18
arts_and_craftmanship,16
la_cuisine,9
cds_dvds_musicals,9
fashion_childrens_clothes,6
security_and_services,2
