customer_unique_id,CLTV,Customer_Health_Index,Dynamic_Risk_Score,Customer_Persona,Next_Best_Action,Customer_Influence_Score,Strategic_Value_Score,Retention_Priority_Score,Lifecycle_Stage
000ec5bff359e1c0ad76a81a45cb598f,14.96,77.02,22.98,Regular Customer,Regular Marketing,38.57,53.95,22.98,Loyal Stage
0015752e079902b12cd00b9b7596276b,59.8,76.16,23.84,Regular Customer,Regular Marketing,38.3,53.44,23.84,Loyal Stage
00172711b30d52eea8b313a7f2cced02,74.5,76.69,23.31,Regular Customer,Regular Marketing,38.62,53.85,23.31,Loyal Stage
001928b561575b2821c92254a2327d06,136.89,77.41,22.59,Regular Customer,Regular Marketing,39.21,54.49,22.59,Loyal Stage
00196c4c9a3af7dd2ad10eade69c926f,22.32,75.79,24.21,Regular Customer,Regular Marketing,37.98,53.1,24.21,Loyal Stage
0025795df7a7d077c4c90162fa820085,0.0,75.55,24.45,Regular Customer,Regular Marketing,37.78,52.89,24.45,Loyal Stage
00391594070baf8603f5fdc1d0c6a48c,105.0,76.38,23.62,Regular Customer,Regular Marketing,38.58,53.7,23.62,Loyal Stage
003a5571a07dcf09bf117d13d2980ba3,149.9,75.82,24.18,VIP Customer,VIP Loyalty Benefits,38.47,53.41,24.18,Loyal Stage
003a7a8eb096ed3cbf713d2def1ca701,99.99,76.78,23.22,Regular Customer,Regular Marketing,38.76,53.97,23.22,Loyal Stage
003ae409f37c3c30cb1c974af3a42692,195.0,76.98,23.02,VIP Customer,VIP Loyalty Benefits,39.22,54.32,23.02,Loyal Stage
003fb95e849e71e732629d94bb92762f,57.99,75.95,24.05,Regular Customer,Regular Marketing,38.19,53.29,24.05,Loyal Stage
0042dfa8925d6eb23e471ec350454f04,49.9,75.73,24.27,Regular Customer,Regular Marketing,38.05,53.12,24.27,Loyal Stage
0048706e497cfba0b689e1e3497bc99e,69.5,76.79,23.21,Regular Customer,Regular Marketing,38.65,53.91,23.21,Loyal Stage
0048a779a98a7848514096ff04046079,21.7,76.36,23.64,Regular Customer,Regular Marketing,38.26,53.5,23.64,Loyal Stage
004b9b1634b7becda8eec4e96bced882,134.99,76.37,23.63,Regular Customer,Regular Marketing,38.69,53.76,23.63,Loyal Stage
00504b68faa074d0f40adcb4f7727f71,152.0,76.76,23.24,VIP Customer,VIP Loyalty Benefits,38.95,54.07,23.24,Loyal Stage
0056c2dd794a5eede6164dcae635875a,129.99,76.57,23.43,Regular Customer,Regular Marketing,38.77,53.89,23.43,Loyal Stage
008b06aba4b5f5b5b94f525ccf520624,67.98,77.15,22.85,Regular Customer,Regular Marketing,38.83,54.16,22.85,Loyal Stage
008ca52811784a181c8c88e8d66b49db,0.0,76.74,23.26,Regular Customer,Regular Marketing,38.37,53.72,23.26,Loyal Stage
00a02d822b18db532e50e0607e615f3b,179.9,76.9,23.1,VIP Customer,VIP Loyalty Benefits,39.12,54.23,23.1,Loyal Stage
00a1d0d7d91c17c634d6896ce10ce1c6,95.0,76.0,24.0,Regular Customer,Regular Marketing,38.35,53.41,24.0,Loyal Stage
00a33236962b4ac37fd25275be9c206b,0.0,76.9,23.1,Regular Customer,Regular Marketing,38.45,53.83,23.1,Loyal Stage
00b2ca23369b68c4d4105ecea9c0cb93,65.9,76.17,23.83,Regular Customer,Regular Marketing,38.33,53.47,23.83,Loyal Stage
00c07da5ba0e07b4f248a3a373b07476,2258.0,79.06,20.94,VIP Customer,VIP Loyalty Benefits,47.93,60.38,20.94,Loyal Stage
00c5610e0f4b339cd3b0cc499937db8d,139.9,75.66,24.34,VIP Customer,VIP Loyalty Benefits,38.35,53.27,24.34,Loyal Stage
00c8c7f0cafacc30bfda2a9a7445ec80,0.0,75.76,24.24,Regular Customer,Regular Marketing,37.88,53.03,24.24,Loyal Stage
00cc0061269a99836cf8b029b1d0177d,32.66,75.96,24.04,Regular Customer,Regular Marketing,38.1,53.24,24.04,Loyal Stage
00d447911e5d5ae87480df8734b915f2,0.0,76.02,23.98,Regular Customer,Regular Marketing,38.01,53.21,23.98,Loyal Stage
00e10a3ff1e104902141546420f5a18b,49.9,75.42,24.58,Regular Customer,Regular Marketing,37.9,52.91,24.58,Loyal Stage
00e984e99fdfd52943156d2d7eb4a5e6,9.9,75.78,24.22,Regular Customer,Regular Marketing,37.93,53.07,24.22,Loyal Stage
00ee7af62ef66b1f9b49f2c2bfd70ad5,0.0,75.76,24.24,Regular Customer,Regular Marketing,37.88,53.03,24.24,Loyal Stage
00f7a39823c05d6a0675aa6dd276bfb0,29.99,77.1,22.9,Regular Customer,Regular Marketing,38.66,54.04,22.9,Loyal Stage
00fd4a627a3b93cff0729f0b3554640d,171.78,76.38,23.62,VIP Customer,VIP Loyalty Benefits,38.83,53.85,23.62,Loyal Stage
01007c64cbffc1eef7ee682dae0ddbfe,179.99,75.72,24.28,VIP Customer,VIP Loyalty Benefits,38.53,53.41,24.28,Loyal Stage
0104d0840fb6bccc7618c519fbcce1a0,116.9,77.23,22.77,Regular Customer,Regular Marketing,39.05,54.32,22.77,Loyal Stage
012ab8ee5f7d76005d838758e9a9452c,29.98,76.99,23.01,Regular Customer,Regular Marketing,38.61,53.96,23.01,Loyal Stage
012b41c1dae00a092474ca48dc764a00,0.0,75.5,24.5,Regular Customer,Regular Marketing,37.75,52.85,24.5,Loyal Stage
013689381e404bf6304f57bab4b8f01d,319.79999999999995,76.23,23.77,VIP Customer,VIP Loyalty Benefits,39.3,54.07,23.77,Loyal Stage
01489018af4a609acb2fa2634c9ce643,58.99,76.36,23.64,Regular Customer,Regular Marketing,38.4,53.58,23.64,Loyal Stage
014ce9c0a3df00f77a6932a7b371a3bc,15.9,77.13,22.87,Regular Customer,Regular Marketing,38.62,54.02,22.87,Loyal Stage
0156e3456c1959644b2da32c2cee358c,69.99,76.17,23.83,Regular Customer,Regular Marketing,38.35,53.48,23.83,Loyal Stage
01689985c22786e41347d5167048b25e,269.70000000000005,75.35,24.65,VIP Customer,VIP Loyalty Benefits,38.68,53.35,24.65,Loyal Stage
01858f2fad256b1689f5bdafc059f745,0.0,75.96,24.04,Regular Customer,Regular Marketing,37.98,53.17,24.04,Loyal Stage
018e7e423aa73a3d7183d8c7c7a7c50d,29.99,76.89,23.11,Regular Customer,Regular Marketing,38.56,53.89,23.11,Loyal Stage
01a551a1f8c7955ba259897b2e3d2e30,40.0,77.11,22.89,Regular Customer,Regular Marketing,38.7,54.06,22.89,Loyal Stage
01b3e064c4fc4372a269bdc02c131850,274.9,77.57,22.43,VIP Customer,VIP Loyalty Benefits,39.81,54.91,22.43,Loyal Stage
01b42ac9d3801e6edf67f7a95f04a838,59.0,76.31,23.69,Regular Customer,Regular Marketing,38.37,53.55,23.69,Loyal Stage
01bc9765e0b1cbb83ec85d576ddc4ef6,199.99,76.99,23.01,VIP Customer,VIP Loyalty Benefits,39.24,54.34,23.01,Loyal Stage
01c1529c867b31e5b6c34ad4ccaab314,0.0,76.17,23.83,Regular Customer,Regular Marketing,38.08,53.32,23.83,Loyal Stage
01c75ebaa6fd123179cc3898fe4d24c4,74.99,76.49,23.51,Regular Customer,Regular Marketing,38.52,53.71,23.51,Loyal Stage
01da270abab6215a40467414afae12d1,139.98,76.17,23.83,VIP Customer,VIP Loyalty Benefits,38.61,53.63,23.83,Loyal Stage
01dd34b5f4cee2a48f03ba1cce8c592c,74.0,76.9,23.1,Regular Customer,Regular Marketing,38.73,54.0,23.1,Loyal Stage
01ecdc37f767e85f5b3fd2310a289253,659.99,77.67,22.33,VIP Customer,VIP Loyalty Benefits,41.29,55.84,22.33,Loyal Stage
01f9585695ca0cb669ddbae22f6ede43,219.99,76.29,23.71,VIP Customer,VIP Loyalty Benefits,38.96,53.89,23.71,Loyal Stage
020299859eabbac628a0b2d6ea22bb9d,99.8,75.75,24.25,Regular Customer,Regular Marketing,38.25,53.25,24.25,Loyal Stage
02063d3c56dc62e17f57cdd78c4962ff,37.9,76.38,23.62,Regular Customer,Regular Marketing,38.33,53.55,23.62,Loyal Stage
0209f290b5451d357308bc0e90521026,572.64,76.15,23.85,VIP Customer,VIP Loyalty Benefits,40.21,54.59,23.85,Loyal Stage
020ae51ab502504a00ab6ccbac53bfa6,799.9,77.83,22.17,VIP Customer,VIP Loyalty Benefits,41.89,56.27,22.17,Loyal Stage
022609268add6b353d31185c5ff813c8,150.0,76.24,23.76,VIP Customer,VIP Loyalty Benefits,38.68,53.7,23.76,Loyal Stage
022657d659cf88bcc8c22774f3f0b61a,0.0,77.05,22.95,Regular Customer,Regular Marketing,38.52,53.93,22.95,Loyal Stage
023626329895d11d199a1bf57dcbc546,0.0,75.96,24.04,Regular Customer,Regular Marketing,37.98,53.17,24.04,Loyal Stage
0241fa2e9adf0576cb0f845377d05c03,22.32,75.63,24.37,Regular Customer,Regular Marketing,37.9,52.99,24.37,Loyal Stage
02466bc47e3eaf9117b78765326d41e7,38.9,76.64,23.36,Regular Customer,Regular Marketing,38.46,53.73,23.36,Loyal Stage
024e94ea4d09b69b4996d5af7b43c1b4,51.89,75.78,24.22,Regular Customer,Regular Marketing,38.08,53.16,24.22,Loyal Stage
0255fc149c1f191319c8c431479e5d8c,0.0,75.91,24.09,Regular Customer,Regular Marketing,37.96,53.14,24.09,Loyal Stage
025cf7c2f32536f0be1ab412bb6602d2,3576.0,81.91,18.09,VIP Customer,VIP Loyalty Benefits,54.26,65.32,18.09,Loyal Stage
025d6eda479e8fe58f6f9c334f86712d,114.9,77.01,22.99,Regular Customer,Regular Marketing,38.93,54.16,22.99,Loyal Stage
026fef2c54aa326832f6eb30e9a13398,119.85,76.81,23.19,Regular Customer,Regular Marketing,38.85,54.03,23.19,Loyal Stage
027179319d6e0b4958b300ba6e9e35e6,81.35,76.76,23.24,Regular Customer,Regular Marketing,38.68,53.91,23.24,Loyal Stage
027c480ac01f936d8add76e496bbfebc,31.9,75.44,24.56,Regular Customer,Regular Marketing,37.84,52.88,24.56,Loyal Stage
027dff2201a97b9920d2dd5240f51a02,160.0,76.98,23.02,VIP Customer,VIP Loyalty Benefits,39.09,54.25,23.02,Loyal Stage
02961f000d03958b88e9cba0cf6253cb,229.9,76.1,23.9,VIP Customer,VIP Loyalty Benefits,38.91,53.79,23.9,Loyal Stage
02a2094b273efc30447d706e9fc9fceb,265.9,76.0,24.0,VIP Customer,VIP Loyalty Benefits,38.99,53.79,24.0,Loyal Stage
02a2a0a9627a062602de754d75038ce4,0.0,76.38,23.62,Regular Customer,Regular Marketing,38.19,53.47,23.62,Loyal Stage
02a7760053385280fc193a50d86f69d1,112.0,77.01,22.99,Regular Customer,Regular Marketing,38.92,54.16,22.99,Loyal Stage
02a8100f33055beec4d219c04e7d4318,122.99,76.98,23.02,Regular Customer,Regular Marketing,38.95,54.16,23.02,Loyal Stage
